  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.2.2.RELEASE)

2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : Found <firstName: JOE, lastName: DOE> in the database.
2020-08-28 12:15:19.027  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : Found <firstName: JUSTIN, lastName: DOE> in the database.
2020-08-28 12:15:19.027  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : Found <firstName: JANE, lastName: DOE> in the database.
2020-08-28 12:15:19.027  INFO 5296 --- [           main] com.example.batchprocessing.Person       : teshi:Show last name and first name
2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : Found <firstName: JOHN, lastName: DOE> in the database.
2020-08-28 12:15:19.027  INFO 5296 --- [           main] c.e.b.JobCompletionNotificationListener  : teshi:Processing complete
2020-08-28 12:15:19.031  INFO 5296 --- [           main] o.s.b.c.l.support.SimpleJobLauncher      : Job: [FlowJob: [name=importUserJob]] completed with the following parameters: [{run.id=1}] and the following status: [COMPLETED] in 151ms
2020-08-28 12:15:19.035  INFO 5296 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2020-08-28 12:15:19.039  INFO 5296 --- [           main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
